Sample	Estandardized_sample_nameR
2B06-1001	2B06_1001
2B06-1021	2B06_1021
2B06-1044	2B06_1044
2B06-1105	2B06_1105
2B06-1112	2B06_1112
2B06-1128	2B06_1128
2B06-1137	2B06_1137
2B06-1139	2B06_1139
2B06-1142	2B06_1142
2B06-1143	2B06_1143
2B06-1144	2B06_1144
2B06-1145	2B06_1145
2B06-1146	2B06_1146
2B06-1147	2B06_1147
2B06-1151	2B06_1151
2B06-1153	2B06_1153
2B06-1157	2B06_1157
2B06-1163	2B06_1163
2B06-1173	2B06_1173
2B06-1175	2B06_1175
2B06-1176	2B06_1176
2B06-1206	2B06_1206
2B06-1238	2B06_1238
2B06-1252	2B06_1252
2B06-1277	2B06_1277
2B06-1278	2B06_1278
6B06-1121	6B06_1121
6B06-1132	6B06_1132
6B06-1168	6B06_1168
6B06-1172	6B06_1172
6B06-1174	6B06_1174
6B06-1175	6B06_1175
6B06-1188	6B06_1188
6B06-1206	6B06_1206
6B06-1227	6B06_1227
6B06-1245	6B06_1245
6B06-1250	6B06_1250
6B06-1262	6B06_1262
6B06-1298	6B06_1298
6B06-1312	6B06_1312
6B06-1330	6B06_1330
6B06-1334	6B06_1334
6B06-1336	6B06_1336
6B06-1387	6B06_1387
6B06-1395	6B06_1395
6B06-1397	6B06_1397
6B06-1400	6B06_1400
6B06-1416	6B06_1416
6B06-1418	6B06_1418
6B06-1422	6B06_1422
6B06-1425	6B06_1425
6B06-1427	6B06_1427
6B06-1429	6B06_1429
6B06-1431	6B06_1431
6B06-1456	6B06_1456
6B06-1518	6B06_1518
6B06-1523	6B06_1523
6B06-1527	6B06_1527
6B06-1542	6B06_1542
6B06-1543	6B06_1543
2B07-1363	2B07_1363
2B07-1460	2B07_1460
2B07-1467	2B07_1467
2B07-1468	2B07_1468
2B07-1513	2B07_1513
2B07-1514	2B07_1514
2B07-1516	2B07_1516
2B07-1520	2B07_1520
2B07-1547	2B07_1547
2B07-1549	2B07_1549
2B07-1562	2B07_1562
2B07-1566	2B07_1566
2B07-1575	2B07_1575
2B07-1581	2B07_1581
2B07-1585	2B07_1585
2B07-1587	2B07_1587
2B07-1590	2B07_1590
2B07-1600	2B07_1600
2B07-1837	2B07_1837
2B07-1843	2B07_1843
2B07-1934	2B07_1934
2B07-2070	2B07_2070
2B07-2074	2B07_2074
2B07-2081	2B07_2081
2B07-2094	2B07_2094
2B07-2096	2B07_2096
2B07-2112	2B07_2112
2B07-2139	2B07_2139
2B07-2157	2B07_2157
2B07-2241	2B07_2241
2B07-2278	2B07_2278
2B07-2317	2B07_2317
6B07-1613	6B07_1613
6B07-1659	6B07_1659
6B07-1660	6B07_1660
6B07-1662	6B07_1662
6B07-1684	6B07_1684
6B07-1705	6B07_1705
6B07-1706	6B07_1706
6B07-1709	6B07_1709
6B07-1753	6B07_1753
6B07-1756	6B07_1756
6B07-1763	6B07_1763
6B07-1770	6B07_1770
6B07-1796	6B07_1796
6B07-1809	6B07_1809
6B07-1819	6B07_1819
6B07-1820	6B07_1820
6B07-1825	6B07_1825
6B07-1860	6B07_1860
6B07-1902	6B07_1902
6B07-1904	6B07_1904
6B07-1909	6B07_1909
6B07-1914	6B07_1914
6B07-1933	6B07_1933
6B07-1940	6B07_1940
6B07-1973	6B07_1973
6B07-1976	6B07_1976
6B07-1991	6B07_1991
6B07-2034	6B07_2034
6B07-2041	6B07_2041
6B07-2081	6B07_2081
6B07-2100	6B07_2100
6B07-2243	6B07_2243
6B07-2272	6B07_2272
6B07-2273	6B07_2273
FEG124-35	FEG124_35
FEG125-06	FEG125_06
FEG125-46	FEG125_46
FEG125-68	FEG125_68
FEG125-69	FEG125_69
FEG126-03	FEG126_03
FEG126-08	FEG126_08
FEG126-12	FEG126_12
FEG126-14	FEG126_14
FEG129-41	FEG129_41
FEG129-52	FEG129_52
FEG129-60	FEG129_60
FEG132-05	FEG132_05
FEG132-07	FEG132_07
FEG132-39	FEG132_39
FEG132-63	FEG132_63
FEG138-03	FEG138_03
FEG138-08	FEG138_08
FEG138-17	FEG138_17
FEG138-27	FEG138_27
FEG141-10	FEG141_10
FEG141-18	FEG141_18
FEG141-20	FEG141_20
FEG141-30	FEG141_30
FEG142-13	FEG142_13
FEG142-16	FEG142_16
FEG142-28	FEG142_28
FEG142-55	FEG142_55
FEG144-17	FEG144_17
FEG144-21	FEG144_21
FEG144-27	FEG144_27
FEG144-68	FEG144_68
FEG144-94	FEG144_94
FEG146-09	FEG146_09
FEG146-46	FEG146_46
FEG146-48	FEG146_48
FEG146-51	FEG146_51
FEG146-68	FEG146_68
FEG147-03	FEG147_03
FEG147-14	FEG147_14
FEG147-42	FEG147_42
FEG147-63	FEG147_63
FEG148-16	FEG148_16
FEG148-22	FEG148_22
FEG148-40	FEG148_40
FEG148-47	FEG148_47
FEG148-56	FEG148_56
FEG149-18	FEG149_18
FEG149-65	FEG149_65
FEG150-42	FEG150_42
FEG150-49	FEG150_49
